"card-full-news__title","card-full-news__info-item","card-full-news__info-item 2"
"В Новосибирске пройдет фестиваль снежных баб","10:03, 2 января 2023","Моя страна"
"Роскошный пикап Great Wall обзавелся турбодизелем и удивил ценой","19:30, 1 января 2023",""
"Китайская копия Mercedes-Benz GLS подешевела в 2,5 раза","19:30, 1 января 2023",""
"Врач призвала отказаться от использования плохой туши для ресниц на Новый год","20:43, 31 декабря 2022","Забота о себе"
"Роскошный заднеприводный седан Toyota Crown дебютировал в Китае","19:31, 31 декабря 2022",""
"Российский бестселлер Chery обновился и подорожал","19:31, 31 декабря 2022",""
"Солистка группы «Блестящие» назвала основные ошибки женщин при выборе партнера","18:24, 31 декабря 2022","Забота о себе"
"Названы способы проснуться бодрым и свежим после новогодней ночи","16:04, 31 декабря 2022","Забота о себе"
"Виктория Дайнеко объяснила причины рассказа дочери о несуществующем Деде Морозе","13:46, 31 декабря 2022","Забота о себе"
"Раскрыты способы помочь пострадавшему от «выстрелившей» пробки от шампанского","13:13, 31 декабря 2022","Забота о себе"
"Мужчина прислушался к совету покойного отца и сорвал куш в лотерее","13:00, 31 декабря 2022","Из жизни"
"Россиянам назвали способ спасти елку от осыпания","12:41, 31 декабря 2022","Забота о себе"
"Женщина нашла под плиткой в ванной послание 43-летней давности","09:30, 31 декабря 2022","Из жизни"
"Диетолог предупредила о возможности зависимости от майонеза","08:51, 31 декабря 2022","Забота о себе"
"Россияне назвали любимые новогодние традиции","08:11, 31 декабря 2022","Россия"
"Врач назвала способы не переесть в новогоднюю ночь","07:34, 31 декабря 2022","Забота о себе"
"Россиянам дали советы по употреблению алкоголя в праздники","06:55, 31 декабря 2022","Забота о себе"
"Диетолог назвала самые полезные десерты на Новый год","06:41, 31 декабря 2022","Забота о себе"
"Гинеколог раскрыла влияние лимонов на срок менструации","05:48, 31 декабря 2022","Забота о себе"
"Синоптик рассказал о погоде в новогоднюю ночь в Москве","04:46, 31 декабря 2022","Россия"
"Россиян предупредили о последствиях регулярного употребления шампанского","04:10, 31 декабря 2022","Забота о себе"
"Россиян предупредили об опасности новогодней елки","03:50, 31 декабря 2022","Забота о себе"
"Россиянам рассказали о способах перенести новогоднее застолье","02:04, 31 декабря 2022","Забота о себе"
"Россиян предупредили о штрафах в новогоднюю ночь","01:11, 31 декабря 2022","Россия"
"Кортни Лав лишилась роли в «Бойцовском клубе» из-за Брэда Питта","23:47, 30 декабря 2022","Культура"
"Диетолог назвала самые полезные закуски для новогоднего стола","23:32, 30 декабря 2022","Забота о себе"
"Диетолог назвала самые вредные блюда на новогоднем столе","22:54, 30 декабря 2022","Забота о себе"
"Женщина примерила откровенный наряд внучки и восхитила подписчиков","21:40, 30 декабря 2022","Ценности"
"Геология Венеры оказалась похожей на Землю","20:50, 30 декабря 2022","Наука и техника"
"Тиктокерша поделилась сомнительным способом хранить новогоднюю елку","20:35, 30 декабря 2022","Забота о себе"
"43-летняя уборщица стала бодибилдершей за полтора года тренировок","20:23, 30 декабря 2022","Ценности"
"Упавший с лодки рыбак провел в открытом океане два дня и выжил","20:00, 30 декабря 2022","Из жизни"
"Девушка примерила наряд своей тети из 1980-х и восхитила пользователей сети","19:47, 30 декабря 2022","Ценности"
"Огромный соломенный козел устоял против вандалов и поджигателей","19:21, 30 декабря 2022","Из жизни"
"Бортпроводник посоветовал пассажирам надевать в самолет джинсы вместо шорт","19:11, 30 декабря 2022","Путешествия"
"Визажистка назвала способы продлить молодость кожи","18:42, 30 декабря 2022","Ценности"
"Терапевт предостерегла от завтрака салатами 1 января","18:31, 30 декабря 2022","Забота о себе"
"Путешественникам раскрыли секреты правильной упаковки чемодана","18:13, 30 декабря 2022","Путешествия"
"Врач назвала остающиеся без должного внимания при мытье места на теле человека","17:19, 30 декабря 2022","Ценности"
"Пара нашла пропавшее 21 год назад помолвочное кольцо в унитазе","17:03, 30 декабря 2022","Из жизни"
"Россиянам дали советы по уходу за чувствительной кожей зимой","17:02, 30 декабря 2022","Забота о себе"
"Совместимость алкоголя и оральных контрацептивов оценили","16:35, 30 декабря 2022","Забота о себе"
"Женщина сбросила 63 килограмма и показала внешность до и после похудения","16:34, 30 декабря 2022","Ценности"
"Российская авиакомпания запустила масштабную распродажу билетов от 999 рублей","16:07, 30 декабря 2022","Путешествия"
"Обезьяна с детенышем сорвала свадебную фотосессию и попала на видео","16:03, 30 декабря 2022","Из жизни"
"Билли Айлиш в облегающем наряде показала фигуру после похудения","15:40, 30 декабря 2022","Ценности"
"Названы лучшие горнолыжные курорты России для бюджетного отдыха","15:30, 30 декабря 2022","Путешествия"
"Потерявший бизнес мужчина сорвал куш в лотерее и спасся от бедности","15:24, 30 декабря 2022","Из жизни"
"Популярная страна отменила почти все ограничения по COVID-19 для туристов","15:08, 30 декабря 2022","Путешествия"
"Самый доступный iPhone подешевел","15:02, 30 декабря 2022","Наука и техника"
"В Великом Новгороде состоится праздник «Сказочное Новогодье»","14:52, 30 декабря 2022","Моя страна"
"Внешность российской стюардессы в униформе взволновала иностранцев в сети","14:28, 30 декабря 2022","Путешествия"
"Один пуховик стал трендом у знаменитостей","14:13, 30 декабря 2022","Ценности"
"Психолог назвала способ хорошо встретить Новый год одиноким людям","13:41, 30 декабря 2022","Забота о себе"
"Глюкоза подарила дочери часы Rolex за миллион рублей","13:35, 30 декабря 2022","Ценности"
"В России заявили о готовности возобновить пассажирское сообщение с Китаем","13:09, 30 декабря 2022","Путешествия"
"Захарова раскрыла главное блюдо своего новогоднего стола","12:48, 30 декабря 2022","Ценности"
"Названы игры с лучшей графикой","12:47, 30 декабря 2022","Наука и техника"
"Стилист назвала россиянам пять необходимых вещей в гардеробе зимой","12:30, 30 декабря 2022","Ценности"
"Названа главная особенность будущих iPhone","12:00, 30 декабря 2022","Наука и техника"
"Названы способы быстро высушить одежду после стирки зимой","11:38, 30 декабря 2022","Ценности"
"Боящимся новых отношений после болезненного расставания женщинам дали совет","11:33, 30 декабря 2022","Забота о себе"
"В России создадут рабочую группу для решения проблем с перевозками туристов","11:26, 30 декабря 2022","Путешествия"
"Названы лучшие игры для ПК","11:15, 30 декабря 2022","Наука и техника"
"Александр Васильев дал совет по похудению ради фигуры как у Полины Гагариной","11:09, 30 декабря 2022","Ценности"
"Опасный диагноз заставил женщину похудеть на 29 килограммов","11:01, 30 декабря 2022","Из жизни"
"В России появится замена Android","10:38, 30 декабря 2022","Наука и техника"
"Жена по-новому взглянула на мужа из-за коронавируса и передумала разводиться","10:23, 30 декабря 2022","Из жизни"
"Парикмахер раскрыла оптимальную частоту мытья головы","10:12, 30 декабря 2022","Ценности"
"Вышел геймплейный трейлер S.T.A.L.K.E.R. 2","09:53, 30 декабря 2022","Наука и техника"
"Александр Васильев оценил стиль Орбакайте со словами «люблю ее с декольте»","09:51, 30 декабря 2022","Ценности"
"Психологи призвали воздержаться от некоторых поступков при подозрениях в измене","09:47, 30 декабря 2022","Забота о себе"
"На картах Google нашли «самый забавный вид»","09:32, 30 декабря 2022","Интернет и СМИ"
"Россиянам дали совет по выгодной покупке билетов на поезд в 2023 году","09:21, 30 декабря 2022","Путешествия"
"Блогерша назвала три распространенные ошибки при выборе одежды","09:05, 30 декабря 2022","Ценности"
"Обнаружены десятки новых переменных звезд","06:31, 30 декабря 2022","Наука и техника"
"Блогер побывал в США и назвал чуждые россиянам привычки американцев","06:00, 30 декабря 2022","Путешествия"
"Обнаружен механизм бессмертия зародышевых клеток","04:39, 30 декабря 2022","Наука и техника"
"50-летняя популярная актриса показала фигуру в купальнике","04:20, 30 декабря 2022","Ценности"
"Раскрыт неизвестный механизм кишечного иммунитета","00:34, 30 декабря 2022","Наука и техника"
"Samsung представила монитор со встроенной ОС","20:33, 29 декабря 2022","Наука и техника"
"Женщина сорвала куш в лотерею благодаря божеству","20:31, 29 декабря 2022","Из жизни"
"Стоматолог рассказала о вреде некоторых зубных щеток","20:30, 29 декабря 2022","Забота о себе"
"Россияне посетили пустыню в ОАЭ и разочаровались в отдыхе из-за французов","20:21, 29 декабря 2022","Путешествия"
"В Туве впервые за 20 лет обнаружили следы снежных барсов","19:49, 29 декабря 2022","Моя страна"
"Блогерша раскрыла простой способ уменьшить широкие джинсы в домашних условиях","19:45, 29 декабря 2022","Ценности"
"Необычная деталь в наряде 76-летнего Сталлоне развеселила публику","19:22, 29 декабря 2022","Ценности"
"Windows 11 адаптируют под складные устройства","19:06, 29 декабря 2022","Наука и техника"
"Названы способы избежать переутомления","18:38, 29 декабря 2022","Забота о себе"
"Шакил О'Нил похудел почти на 20 килограммов ради необычной цели","17:58, 29 декабря 2022","Забота о себе"
"Ивлеева показала лицо без макияжа","17:42, 29 декабря 2022","Ценности"
"Россиянка побывала на Маврикии и объяснила привычку носить камни в карманах","17:25, 29 декабря 2022","Путешествия"
"Малышева назвала неожиданные свойства популярного новогоднего салата","17:16, 29 декабря 2022","Интернет и СМИ"
"Супруга Барака Обамы призналась в десятилетней неприязни к нему","16:52, 29 декабря 2022","Забота о себе"
"Сергей Зверев раскрыл способ Аллы Пугачевой быстро похудеть после застолья","16:04, 29 декабря 2022","Забота о себе"
"Звезда клипа про «лабутены» назвала главный недостаток Москвы","15:51, 29 декабря 2022","Среда обитания"
"Умные очки Microsoft поступят в армию США","15:30, 29 декабря 2022","Наука и техника"
"Раскрыта связь между нарядом на Новый год и тайными желаниями женщины","14:32, 29 декабря 2022","Ценности"
"Россиянам раскрыли стоимость горнолыжного отдыха в 2023 году","14:31, 29 декабря 2022","Путешествия"
"Сборы «Аватара 2» во всем мире превысили миллиард долларов","13:25, 29 декабря 2022","Культура"
"Производство премиальных iPhone перенесут во Вьетнам","12:53, 29 декабря 2022","Наука и техника"
"Переехавшая в Черногорию российская стилистка рассказала о моде в стране","12:30, 29 декабря 2022","Ценности"
"Цены на подержанные электромобили Tesla рухнули","12:24, 29 декабря 2022","Наука и техника"
"Кабмин одобрил взаимное признание виз между Россией и Белоруссией","12:05, 29 декабря 2022","Путешествия"
"Молодо выглядящая 50-летняя женщина раскрыла секреты своей красоты","11:52, 29 декабря 2022","Ценности"
"Россиянкам назвали способ стать матерью даже в зрелом возрасте","11:48, 29 декабря 2022","Забота о себе"
"Apple снизит цены на iPhone в 2023 году","11:42, 29 декабря 2022","Наука и техника"
"Официантка с тремя детьми получила тысячу долларов чаевых","11:35, 29 декабря 2022","Из жизни"
"Названы самые мистические места России","11:06, 29 декабря 2022","Путешествия"
"Раскрыта причина смертельной жары 2021 года","11:06, 29 декабря 2022","Наука и техника"
"Раскрыта многомиллионная цена обручального кольца 76-летней певицы Шер","10:44, 29 декабря 2022","Ценности"
"Планеты TRAPPIST-1 оказались геологически активными из-за звездных вспышек","10:27, 29 декабря 2022","Наука и техника"
"Девушка ввела филлеры в подбородок и показала новую внешность","10:18, 29 декабря 2022","Ценности"
"Создан снижающий вдвое смертность при пересадке костного мозга метод","09:42, 29 декабря 2022","Наука и техника"
"Российская авиакомпания начала продажу авиабилетов от 975 рублей","09:21, 29 декабря 2022","Путешествия"
"Тренер показала раздутый после рождественских праздников живот","09:02, 29 декабря 2022","Ценности"
"Идентифицированы птицы на уникально детализированной древнеегипетской живописи","09:00, 29 декабря 2022","Наука и техника"
"Разработан препарат для лечения рака простаты на поздней стадии","06:55, 29 декабря 2022","Наука и техника"
"Названы поддерживающие организм при приеме антибиотиков продукты","05:41, 29 декабря 2022","Забота о себе"
"В древнем турецком городе обнаружили античные скульптуры","04:35, 29 декабря 2022","Наука и техника"
"50-летняя женщина примерила откровенный наряд дочери и восхитила подписчиков","01:00, 29 декабря 2022","Ценности"
"Названы трудности в романах с недавно пережившими расставание людьми","21:00, 28 декабря 2022","Забота о себе"
"Женщина отметила 106-й день рождения в казино и раскрыла секрет долголетия","20:41, 28 декабря 2022","Из жизни"
"Разоблачен модный метод похудения за пять минут в день","20:35, 28 декабря 2022","Забота о себе"
"Анфиса Чехова раскрыла секрет своей стройной фигуры","19:41, 28 декабря 2022","Забота о себе"
"Бородина похвасталась подписчикам роскошной виллой с бассейном в Таиланде","19:19, 28 декабря 2022","Путешествия"
"Создан смартфон с рекордной зарядкой","19:10, 28 декабря 2022","Наука и техника"
"В Калининграде создадут туристический кластер на старинном крепостном валу","18:53, 28 декабря 2022","Моя страна"
"Опубликован список фильмов 2022 года с лучшими кассовыми сборами","18:32, 28 декабря 2022","Культура"
"Стилист назвала безвкусицей пять видов любимых туфель россиянок","18:11, 28 декабря 2022","Ценности"
"Игру Кодзимы случайно раздали бесплатно","18:08, 28 декабря 2022","Наука и техника"
"Фитнес-тренер назвал пять простых привычек для поддержания формы в праздники","17:22, 28 декабря 2022","Забота о себе"
"Названо самое популярное туристическое направление России в 2022 году","17:11, 28 декабря 2022","Путешествия"
"Названа лучшая актриса российских сериалов","16:51, 28 декабря 2022","Культура"
"Windows запустили на «слабейшем» компьютере","16:41, 28 декабря 2022","Наука и техника"
"У загадочных космических сигналов обнаружили круговую поляризацию","16:22, 28 декабря 2022","Наука и техника"
"Россиянам назвали лучшую одежду для новогодней ночи","16:04, 28 декабря 2022","Ценности"
"Мужчина похудел на 13 килограммов за 10 недель и раскрыл секрет своего успеха","14:55, 28 декабря 2022","Из жизни"
"Пушкинский заповедник объявил конкурс новогодних и рождественских открыток","14:35, 28 декабря 2022","Моя страна"
"Гонконг смягчил ограничения на въезд для россиян","14:20, 28 декабря 2022","Путешествия"
"В Рязани пройдет новгодний фестиваль туристических маршрутов","14:17, 28 декабря 2022","Моя страна"
"Создан выявляющий болезнь Альцгеймера по новому биомаркеру анализ крови","14:17, 28 декабря 2022","Наука и техника"
"В России анонсировали скорое появление «карты туриста» для иностранцев","14:11, 28 декабря 2022","Путешествия"
"Бузова похвасталась фигурой после похудения","14:04, 28 декабря 2022","Ценности"
"Apple отложила выпуск складного iPad","13:36, 28 декабря 2022","Наука и техника"
"Ким Кардашьян раскрыла требования к внешнему виду своих сотрудников","13:16, 28 декабря 2022","Ценности"
"Китай отменил ПЦР-тестирование по прибытии для россиян","13:12, 28 декабря 2022","Путешествия"
"Психиатр дала совет по поддержке ментального здоровья в праздники","12:44, 28 декабря 2022","Забота о себе"
"Названы лучшие смартфоны 2022 года","12:30, 28 декабря 2022","Наука и техника"
"Популярная пляжная страна нацелилась на привлечение российских туристов","12:30, 28 декабря 2022","Путешествия"
"Россиянкам назвали устаревшие к 2023 году тренды","12:26, 28 декабря 2022","Ценности"
"Apple обвинили в расизме из-за умных часов","11:55, 28 декабря 2022","Наука и техника"
"Александр Васильев назвал подходящие наряды для встречи Нового года","11:43, 28 декабря 2022","Ценности"
"iPhone 12 Pro упал с 26-го этажа и не разбился","11:35, 28 декабря 2022","Из жизни"
"Первый южнокорейский аппарат вышел на орбиту Луны","11:23, 28 декабря 2022","Наука и техника"
"Найдены следы обрушения колец Урана на спутник Миранда","10:44, 28 декабря 2022","Наука и техника"
"Стилист Васильев перечислил тренды в одежде на 2023 год","10:35, 28 декабря 2022","Ценности"
"Слепой репортер набросился на пытавшегося украсть телефон вора","09:22, 28 декабря 2022","Интернет и СМИ"
"Фрегат «Адмирал Горшков» завершил подготовку к боевой службе","09:19, 28 декабря 2022","Наука и техника"
"800-й гол Овечкина назвали лучшим моментом 2022 года в НХЛ","09:19, 28 декабря 2022","Спорт"
"Из «Аватара 2» вырезали десять минут фильма из-за проблем с оружием в США","08:02, 28 декабря 2022","Культура"
"Диетолог назвала допустимую дозу алкоголя на Новый год","05:06, 28 декабря 2022","Забота о себе"
"Открыт новый класс противоречащих законам физики галактик","04:30, 28 декабря 2022","Наука и техника"
"Россиянам рассказали об опасности переноса денег из банка в банк","04:25, 28 декабря 2022","Экономика"
"Женщина примерила откровенный наряд дочери и удивила ее подписчиков","04:00, 28 декабря 2022","Ценности"
"Россиянам рассказали о порядке выхода на пенсию в 2023 году","03:10, 28 декабря 2022","Экономика"
"Диетолог предупредила об опасности холодца для некоторых людей","23:35, 27 декабря 2022","Забота о себе"
"Диетолог назвала опасность злоупотребления кофе","23:12, 27 декабря 2022","Забота о себе"
"Диетолог назвала способы избежать вздутия живота во время праздников","21:04, 27 декабря 2022","Забота о себе"
"Установлен последний период существования моста между Америкой и Азией","21:00, 27 декабря 2022","Наука и техника"
"Бывшая стюардесса рекомендовала путешественникам оставлять обувь в сейфе отеля","20:39, 27 декабря 2022","Путешествия"
"Ким Кардашьян высмеяли в сети за нелепый фотошоп на снимке в бикини","20:09, 27 декабря 2022","Ценности"
"Доказано преимущество женщин в когнитивной эмпатии","20:02, 27 декабря 2022","Наука и техника"
"Роспотребнадзор назвал безопасные составляющие детского сладкого подарка","19:36, 27 декабря 2022","Забота о себе"
"Названа самая популярная страна у российских туристов в 2022 году","19:33, 27 декабря 2022","Путешествия"
"Названы самые красивые горнолыжные курорты России","19:10, 27 декабря 2022","Путешествия"
"Названы самые продаваемые кроссовки в 2022 году","18:42, 27 декабря 2022","Ценности"
"Популярные боксеры поругались из-за отношения к ментальному здоровью","18:33, 27 декабря 2022","Забота о себе"
"Победившая облысение женщина назвала способы избежать выпадения волос","18:08, 27 декабря 2022","Ценности"
"Samsung уступила Apple на важном рынке","18:05, 27 декабря 2022","Наука и техника"
"Блогерша назвала лучший момент для применения сухого шампуня","17:36, 27 декабря 2022","Ценности"
"Россиян предупредили об особой опасности баночных алкогольных напитков","17:16, 27 декабря 2022","Забота о себе"
"Названы самые ожидаемые сериалы 2023 года","17:05, 27 декабря 2022","Культура"
"В Алтайском заповеднике засняли редкого зверя из Красной книги","16:35, 27 декабря 2022","Моя страна"
"Россиянам назвали время наступления пика заболеваемости свиным гриппом","16:32, 27 декабря 2022","Забота о себе"
"Россиянам стали доступны выгодные туры в популярные пляжные страны на Рождество","16:04, 27 декабря 2022","Путешествия"
"Выявлено полезное для климата свойство бурых водорослей","15:43, 27 декабря 2022","Наука и техника"
"Российский врач раскрыла секреты молодости 51-летнего нестареющего Джареда Лето","15:39, 27 декабря 2022","Забота о себе"
"В Нижегородском заповеднике выпустили в дикую природу шесть северных оленей","15:33, 27 декабря 2022","Моя страна"
"Косметолог раскрыла россиянкам способы уменьшить щеки","15:14, 27 декабря 2022","Ценности"
"Перечислены самые ожидаемые смартфоны 2023 года","14:54, 27 декабря 2022","Наука и техника"
"Звезда «Дома дракона» раскрыла секрет своей прически в сериале","14:42, 27 декабря 2022","Ценности"
"Песня All I Want for Christmas Is You стала самой прослушиваемой в Spotify","14:33, 27 декабря 2022","Культура"
"Женатым мужчинам подсказали способ пресечь попытки флирта со стороны коллег","14:03, 27 декабря 2022","Забота о себе"
"Назван самый модный головной убор на зиму","14:00, 27 декабря 2022","Ценности"
"Внешность 74-летней матери звезды Hi-Fi удивила фанатов","13:32, 27 декабря 2022","Ценности"
"Россия и Китай захотели возобновить наземное пассажирское сообщение","13:17, 27 декабря 2022","Путешествия"
"Названы причины провала нового iPhone","13:16, 27 декабря 2022","Наука и техника"
"В Липецке спасли упавшую в уличный туалет собаку","13:15, 27 декабря 2022","Моя страна"
"Тренер поделилась мнением об отказе от диеты и спорта на время праздников","12:18, 27 декабря 2022","Ценности"